DEBUG 2022-07-27 20:11:54,486 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:12:19,464 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:20,498 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:20,505 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:20,508 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:20,511 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:21,584 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:21,590 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:21,597 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:21,601 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:22,634 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:22,641 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:22,646 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:22,652 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:23,723 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:23,729 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:23,732 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:23,735 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:24,816 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:24,822 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:24,828 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:24,832 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.4}
DEBUG 2022-07-27 20:12:25,864 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:25,869 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:25,872 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:25,875 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.405}
DEBUG 2022-07-27 20:12:26,938 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:26,943 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:26,946 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:26,948 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.405}
DEBUG 2022-07-27 20:12:27,981 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:27,988 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:27,990 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:27,994 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.415}
DEBUG 2022-07-27 20:12:29,059 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:29,066 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:29,068 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:29,072 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.415}
DEBUG 2022-07-27 20:12:30,139 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:30,144 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:30,148 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:30,150 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.42}
DEBUG 2022-07-27 20:12:31,197 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:31,203 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:31,211 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:31,216 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.42}
DEBUG 2022-07-27 20:12:32,256 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:32,263 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:32,268 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:32,273 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.425}
DEBUG 2022-07-27 20:12:33,314 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.435}
DEBUG 2022-07-27 20:12:33,320 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:33,322 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:33,325 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:34,393 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.435}
DEBUG 2022-07-27 20:12:34,399 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:34,404 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:34,409 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:35,509 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:35,515 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:35,520 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:35,524 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:36,596 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:36,601 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02021}
DEBUG 2022-07-27 20:12:36,605 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:36,608 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:37,677 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:37,682 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02021}
DEBUG 2022-07-27 20:12:37,686 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:37,690 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:38,761 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:38,765 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02021}
DEBUG 2022-07-27 20:12:38,769 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:38,771 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:39,844 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:39,849 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:39,852 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:39,854 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:40,903 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:40,907 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:40,912 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:40,916 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:41,980 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:41,984 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:41,987 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:41,991 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:43,056 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.43}
DEBUG 2022-07-27 20:12:43,059 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:43,062 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:43,064 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:44,136 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.425}
DEBUG 2022-07-27 20:12:44,140 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:44,144 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:44,149 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:45,229 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.41}
DEBUG 2022-07-27 20:12:45,235 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:45,239 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:45,242 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:46,308 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.41}
DEBUG 2022-07-27 20:12:46,314 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:46,317 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:46,321 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:47,391 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.41}
DEBUG 2022-07-27 20:12:47,396 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:47,400 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:47,403 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:48,464 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:48,470 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.41}
DEBUG 2022-07-27 20:12:48,472 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020205}
DEBUG 2022-07-27 20:12:48,475 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:49,536 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:49,538 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.400000000000006}
DEBUG 2022-07-27 20:12:49,541 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:49,544 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:50,616 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:50,621 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.400000000000006}
DEBUG 2022-07-27 20:12:50,625 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:50,628 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:51,688 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:51,694 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.400000000000006}
DEBUG 2022-07-27 20:12:51,696 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:51,700 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:52,765 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:52,770 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.400000000000006}
DEBUG 2022-07-27 20:12:52,777 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:52,781 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:53,866 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:53,872 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:53,876 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.0202}
DEBUG 2022-07-27 20:12:53,879 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:54,947 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:54,954 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:54,959 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020194999999999998}
DEBUG 2022-07-27 20:12:54,964 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:56,032 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:56,038 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:56,040 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:12:56,043 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:57,134 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:57,142 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:57,149 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:12:57,151 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:58,215 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:58,220 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:58,223 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:12:58,226 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:59,295 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:59,301 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:12:59,303 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:12:59,307 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:00,368 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:00,374 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:13:00,377 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:13:00,385 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:01,429 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:01,436 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:13:01,439 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:13:01,443 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:02,506 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:02,511 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:13:02,514 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:13:02,517 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:03,545 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:03,550 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:03,553 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:13:03,555 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:13:04,606 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:04,610 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:04,612 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:13:04,616 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:13:05,682 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:05,687 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:05,690 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:13:05,692 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02019}
DEBUG 2022-07-27 20:13:06,782 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:06,787 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:06,791 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:13:06,794 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:13:07,859 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:13:07,865 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:13:07,867 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.39}
DEBUG 2022-07-27 20:13:07,871 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:13:08,935 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.0663}
DEBUG 2022-07-27 20:13:08,940 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:08,943 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
DEBUG 2022-07-27 20:13:08,945 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:10,014 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:10,019 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:10,022 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
DEBUG 2022-07-27 20:13:10,024 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:11,096 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:11,102 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:11,105 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
DEBUG 2022-07-27 20:13:11,108 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:12,175 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:12,177 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:12,180 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
DEBUG 2022-07-27 20:13:12,183 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:13,220 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:13,226 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:13,230 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.375}
DEBUG 2022-07-27 20:13:13,232 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:14,288 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:14,294 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:14,297 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.375}
DEBUG 2022-07-27 20:13:14,301 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:15,367 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:15,372 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:15,375 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
DEBUG 2022-07-27 20:13:15,383 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.02018}
DEBUG 2022-07-27 20:13:16,436 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:13:16,441 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:13:16,445 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.379999999999995}
